block,trial,s1_state,direction,coherence,response,rt,drift_rate_1,drift_rate_2,bound_1,bound_2,offset_1,offset_2,pair
-0.5,0,FALSE,right,0.258561455,right,1.136052132,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,1,FALSE,right,0.258561455,right,1.036067963,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,2,FALSE,right,0.258561455,left,1.05604887,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,3,TRUE,right,0.273067071,right,0.747908831,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,4,FALSE,left,0.258561455,left,0.930022001,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,5,FALSE,left,0.258561455,left,1.00048399,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,6,TRUE,right,0.273067071,right,1.046962023,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,7,TRUE,left,0.273067071,left,0.58859992,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,8,TRUE,left,0.273067071,left,0.731908083,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,9,TRUE,right,0.273067071,right,0.709427118,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,10,FALSE,left,0.258561455,left,1.010580063,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,11,TRUE,left,0.273067071,right,0.996583939,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,12,FALSE,right,0.258561455,right,1.359344006,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,13,FALSE,left,0.258561455,left,1.427384138,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,14,TRUE,left,0.273067071,right,1.343797922,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,15,FALSE,right,0.258561455,left,1.370355129,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,16,FALSE,left,0.258561455,left,0.714542866,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,17,FALSE,right,0.258561455,right,1.052152157,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,18,FALSE,right,0.258561455,right,0.794002056,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,19,TRUE,right,0.273067071,right,0.609299898,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,20,TRUE,left,0.273067071,left,0.599642992,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,21,TRUE,left,0.273067071,right,0.686720133,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,22,FALSE,right,0.258561455,right,0.71559,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,23,TRUE,left,0.273067071,left,0.617542982,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,24,FALSE,right,0.258561455,right,0.900739908,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,25,TRUE,right,0.273067071,right,0.531711817,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,26,TRUE,right,0.273067071,right,0.615037918,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,27,TRUE,right,0.273067071,right,0.633559942,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,28,TRUE,left,0.273067071,right,0.503684998,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,29,FALSE,right,0.258561455,right,0.77060008,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,30,FALSE,left,0.258561455,right,0.862341166,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,31,FALSE,left,0.258561455,right,0.876009941,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,32,FALSE,left,0.258561455,left,0.675012112,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,33,TRUE,left,0.273067071,right,0.601139069,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,34,FALSE,right,0.258561455,right,0.663072824,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,35,FALSE,right,0.258561455,right,0.677284002,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,36,FALSE,right,0.258561455,right,0.625983,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,37,FALSE,left,0.258561455,left,1.033407927,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,38,FALSE,left,0.258561455,right,0.77949214,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
-0.5,39,TRUE,left,0.273067071,left,0.926275015,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,0,FALSE,right,0.258561455,right,0.822921991,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,1,FALSE,left,0.258561455,left,1.07130599,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,2,TRUE,left,0.273067071,right,0.540085077,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,3,TRUE,right,0.273067071,right,0.556952,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,4,FALSE,right,0.258561455,right,0.693456888,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,5,FALSE,left,0.258561455,left,0.82681489,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,6,TRUE,left,0.273067071,left,0.520287037,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,7,FALSE,right,0.258561455,left,0.944381952,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,8,FALSE,left,0.258561455,left,0.663642883,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,9,FALSE,right,0.258561455,left,0.918252945,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,10,FALSE,right,0.258561455,left,0.867417812,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,11,FALSE,right,0.258561455,left,0.523560047,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,12,FALSE,left,0.258561455,left,0.616494894,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,13,FALSE,left,0.258561455,left,0.520245075,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,14,FALSE,right,0.258561455,left,0.66044116,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,15,FALSE,right,0.258561455,left,0.609177113,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,16,TRUE,right,0.273067071,right,0.582720041,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,17,TRUE,right,0.273067071,right,0.549535036,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,18,TRUE,left,0.273067071,left,0.770115137,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,19,FALSE,right,0.258561455,left,0.663882017,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,20,TRUE,left,0.273067071,right,0.780802965,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,21,TRUE,right,0.273067071,right,0.714298964,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
0,22,FALSE,left,0.258561455,left,0.677954912,4.515149464,4.149614339,0.445525938,0.511968142,0,0,20220715
